plaintext,ciphertext,cipher_type,key,ciphertext_length,avg_char_freq,unique_chars
this is a secret message number 972,irsm2seabieun9scsu7tatgehser,columnar,yziqbd,28,1.75,16
this is a secret message number 973,DCBK FlM H CZVJQK MLYVCZW KOMIKB 973,vigenere,kvtsgxuahg,36,1.7142857142857142,21
this is a secret message number 974,VYXBy WJ R BNQIqGK VNGJCiXT WIDDVG 974,vigenere,crpjjor,38,1.7272727272727273,22
this is a secret message number 975,CUFQ FRY BRZPOC JCCBNDC WHvZOA 975,vigenere,jnxyk,34,1.619047619047619,21
this is a secret message number 976,ste9sraeamn7cisbtseu6ehsmiegr,columnar,lmhcobf,29,1.8125,16
this is a secret message number 977,BPQA QA I AMKZMB UMAAjOMqm VCUJMZ 977,caesar,8,37,1.9473684210526316,19
this is a secret message number 978,t acs  b9si  eqrtmsaenme 7isseegur8,rail_fence,3,35,2.0588235294117645,17
this is a secret message number 979,QOPN RE X ZZJAQZ TLNZJK UBHIND 99,vigenere,xhhvhjmg,33,1.65,20
this is a secret message number 980,ti sasc esg ub9rh0si  ertmsaenme 8,rail_fence,2,34,2.0,17
this is a secret message number 981,t ac sb 9hsi  ertmsaenme 8itaseegur1,rail_fence,3,36,2.1176470588235294,17
this is a secret message number 982,t acy s bhsi k ertmsaenme 8isseegur2,rail_fence,3,36,2.0,18
this is a secret message number 983,WKLV LV D VHFUWHd PHVVDJH XPEHU 983,caesar,3,35,2.0588235294117645,17
this is a secret message number 984,sbeahesmtseu4ste9icsbamn8iegr,columnar,ihpayow,29,1.8125,16
this is a secret message number 985,EXF PRK N IBZSNL ZPIPXHNKHXRBOs 985,vigenere,lqxxbjsxn,35,1.8421052631578947,19
this is a secret message number 986,irsm6ssu8ieen9seabtatgehsxer,columnar,wylift,28,1.75,16
this is a secret message number 987,iegrte9tesu7sraeicsbamn8hesm,columnar,iypjagt,28,1.75,16
this is a secret message number 988,YASB ZE C LXCJV OJsLLAYV LWRUXR 988,vigenere,fttasrmyc,35,1.8421052631578947,19
this is a secret message number 989,ir9teseaemhcaritn9sussbsee8,columnar,bfaznpew,27,1.9285714285714286,14
this is a secret message number 990,seseb9hscmaurtietsne0iaregm,columnar,uovb,27,1.8,15
this is a secret message number 991,iegramn9icsbsraeste9seu1hescm,columnar,qtkneog,29,1.9333333333333333,15
this is a secret message number 992,IARD XL L HXLCM IPVHTPP CNVMMG 992,vigenere,ptjli,34,2.0,17
this is a secret message number 993,RVYC UQ  QBAQFUD YwCGIKPQ BKWKQP 993,vigenere,yoqkjm,36,1.894736842105263,19
this is a secret message number 994,CCYB YB Q NULMUC CNNIbBUmIKVWUA 994,vigenere,jvq,35,1.9444444444444444,18
this is a secret message number 995,iceeeheasuaistam9tsrsnrsemgb5,columnar,vqtwe,29,1.9333333333333333,15
this is a secret message number 996,XLMr MW E WGVIX QIWWEKI RYQFIV 96,caesar,4,33,1.9411764705882353,17
this is a secret message number 997,SHGR HR Z RDBQDS LDRRZFD MTLADfQ s997,caesar,25,37,2.0555555555555554,18
this is a secret message number 998,iaregfm9hscmaurssesebt9ietsne8,columnar,rnlq,30,1.875,16
this is a secret message number 999,hcarsee9ssbirg9aemptesesmuitn,columnar,nchewqif,29,1.9333333333333333,15
this is a secret message number 1000,it sasce esg ubr10hsi ertsmaenme 00,rail_fence,2,35,2.1875,16
this is a secret message number 1001,RFGQ GQ kY QCAPoR KCQYQEC LSKZCP 1001,caesar,24,37,2.0555555555555554,18
this is a secret message number 1002,SDDN HO V RAXMTS HZHRWBZ MQHWQT10o2,vigenere,zwvvp,35,1.75,20
this is a secret message number 1003,amn0ste1sraehsem3steu0icysbiegr,columnar,trvoxfd,31,1.8235294117647058,17
this is a secret message number 1004,SNPN EB d NRYADZ HROBZML AQVAyKY 1m004,vigenere,zghvnwj,38,1.5833333333333333,24
this is a secret message number 1005,FTUE UE M EnODQF YQEMSQ ZGYNQDg1005,caesar,12,35,1.8421052631578947,19
this is a secret message number 1006,ste1sraehesm6mun0icsiegrtseu0,columnar,yktewbm,29,1.9333333333333333,15
this is a secret message number 1007,t ac s tb1hs  ertmasenme 07isseegur0,rail_fence,3,36,2.1176470588235294,17
this is a secret message number 1008,IWXH XH oP HTRuTI BTHHPVT CJBQTG 108,caesar,15,36,1.894736842105263,19
this is a secret message number 1009,DVGA DC  WZMFCB HOGQIK BSUFZB 100z,vigenere,koyiev,34,1.619047619047619,21
this is a secret message number 1010,FTUE UE M EQODQF YQtEEMSQ ZGYNQD 10k01,caesar,12,38,2.111111111111111,18
this is a secret message number 1011,BZBG WA Yo HSKJCC AMKQJVi FSVQSZ 1011,vigenere,isyjpo,37,1.85,20
this is a secret message number 1012,tsce rhi ermsenpe 2ii aseo sgub11s tam0,rail_fence,4,39,2.0526315789473686,19
this is a secret message number 1013,ta  1h  tmen 0isseegur1siersamel3lczb,rail_fence,5,37,1.9473684210526316,19
this is a secret message number 1014,JXYI xYI Q IUSHUJ eCUIIQWnU DKCRUH 1014,caesar,16,39,1.95,20
this is a secret message number 1015,ta  1h  tmenq 0pssegeur1siersame5 csb,rail_fence,5,37,1.9473684210526316,19
this is a secret message number 1016,FTUE UE g EODQF YQEEMSQ ZGYNQD 016,caesar,12,34,1.8888888888888888,18
this is a secret message number 1017,QhEFPrFPc X PBZOBQ JBPPXDB KRJYBO 1017,caesar,23,38,1.9,20
this is a secret message number 1018,tac s b1hsi  lertmsaenme 08isseegu1r,rail_fence,3,36,2.0,18
this is a secret message number 1019,sseseb0iaremg1tietsne1yhscmwaur9,columnar,rwqp,32,1.7777777777777777,18
this is a secret message number 1020,BfXL ND J AQRKJY NRAMVX SFCKDZ 102i,vigenere,imptfflqjz,35,1.5217391304347827,23
this is a secret message number 1021,RIKQ JAd Y AWASML NMKQBOWz OCEZFZ 1021,vigenere,ybis,38,1.5833333333333333,24
this is a secret message number 1022,amn0icsbggrhesm2ste1sreatseu2,columnar,wohsiqa,29,1.8125,16
this is a secret message number 1023,ta  1h  tmen isseegur2sijersame3 csb,rail_fence,5,36,2.0,18
this is a secret message number 1024,XOIS MZ A WLCRSX MbEGWHGE RBMjBSV 1042,vigenere,ehaao,38,1.6521739130434783,23
this is a secret message number 1025,ieen1shmerirsm2seav5scsv0tatge,columnar,wjgokm,30,1.875,16
this is a secret message number 1026,DSCGTpM K MSMCYH XYGCLAS YOALPL1026,vigenere,kluo,35,1.75,20
this is a secret message number 1027,ZNOYOY G YKIXKZ KeYYGMK TASHKX 1027,caesar,6,35,1.8421052631578947,19
this is a secret message number 1028,tsce rhi emrsene 8i asehsgub12st am0,rail_fence,4,36,2.0,18
this is a secret message number 1029,hsczaur9sseseb0tesne2iaregm1,columnar,xnzs,28,1.5555555555555556,18
this is a secret message number 1030,seab0hsmertatgescsu0risa3ieen1,columnar,jdvnsa,30,1.875,16
this is a secret message number 1031,tiwsasce esg ur13hsi  ertmsaenme 01,rail_fence,2,35,2.0588235294117645,17
this is a secret message number 1032,ULSU oW C TITMQU WGETEG OYWDQS 1032,vigenere,bekcm,35,1.75,20
this is a secret message number 1033,hesm3st1eigricsbtseu3sraleamn0,columnar,jcirgft,30,1.7647058823529411,17
this is a secret message number 1034,JXYI Y IQ IUSHUJ CUIIQWU DKCUH1 034,caesar,16,35,2.0588235294117645,17
this is a secret message number 1035,LKNO WE S XAEQFE PJOUOSPgdZIDSD 1035,vigenere,sdfwcoml,36,1.5,24
this is a secret message number 1036,tshc rhii ermsene 6i ase sgub13s tam0,rail_fence,4,37,2.0555555555555554,18
this is a secret message number 1037,OLWG J R WSAIZK QSQJVXHB SDWVU 1037,vigenere,vrdeoyr,35,1.5217391304347827,23
this is a secret message number 1038,sum8tesesee0aemitn3hcarirga1sb,columnar,dxykwamz,30,1.7647058823529411,17
this is a secret message number 1039,iaregmhscmur9sseseb0titsne3,columnar,wrqu,27,1.6875,16
this is a secret message number 1040,TCeH INsP SZFGOT PTCSVJTN PPQOR 1040,vigenere,avdpk,36,1.7142857142857142,21
this is a secret message number 1041,scmaur1iarexm1tiestne4sseseb0,columnar,jcfs,29,1.9333333333333333,15
this is a secret message number 1042,hsmeirrsm4ieen1tatzgescsutseab2,columnar,siotku,31,1.8235294117647058,17
this is a secret message number 1043,YRTS VX K SIPWDJ MFXFQP RHRGOC 0143,vigenere,fklaenf,35,1.4583333333333333,24
this is a secret message number 1044,semb4iceee4tirsnrhadsu1istam0,columnar,rsymq,29,1.8125,16
this is a secret message number 1045,ta  1h  tmen 0isseegur4siersamte5 cx,rail_fence,5,36,2.0,18
this is a secret message number 1046,hewsm6amna0tseju4iegricsbste1srae,columnar,gbqzjsc,33,1.736842105263158,19
this is a secret message number 1047,MPDA YT I ALSSXB ULITTOZ UKNUM xM047,vigenere,tivihqb,36,1.7142857142857142,21
this is a secret message number 1048,MABL B T LXVKXM FXLLTZX GNFUXK 104z,caesar,19,35,1.9444444444444444,18
this is a secret message number 1049,YMNX NX FX JHWJY RJXXFLJ SZRGJW1 049,caesar,5,36,2.0,18
this is a secret message number 1050,tcser hi ermsene 0i ase gub15s tam0,rail_fence,4,35,2.0588235294117645,17
this is a secret message number 1051,LNGN AY V KKaAMTLiKZHKGEZ FAKWTJ 105,vigenere,sgyvp,36,1.7142857142857142,21
this is a secret message number 1052,ti sace esg ubr1hsi  ertmsadenme 02,rail_fence,2,35,1.9444444444444444,18
this is a secret message number 1053,tsce frhi emrmsene 3i ase sgub1s5 tam0,rail_fence,4,38,2.0,19
this is a secret message number 1054,CQRB RB J BNLANC VNBBJPN DWVKjA 105,caesar,9,35,1.9444444444444444,18
this is a secret message number 1055,hfcarirg1see0ssbtesaamesmu5itn5,columnar,mefizvqj,31,1.8235294117647058,17
this is a secret message number 1056,irsm5ieetn1hsmercsu0seab6tautge,columnar,ypkrgw,31,1.8235294117647058,17
this is a secret message number 1057,PDEOzE W OAYNAP IAOOWCA JQIXAN 10o57,caesar,22,36,1.8,20
this is a secret message number 1058,aemgrig1ssbhcaritn5see0smu8hese,columnar,sjdonrcf,31,1.8235294117647058,17
this is a secret message number 1059,BKLE QV  AHFDMB PQAAxJQ VXPNMZ 1059,vigenere,iddmi,35,1.5909090909090908,22
this is a secret message number 1060,haes1tsrsnsemgb6iceeet0istam0,columnar,dbzht,29,1.9333333333333333,15
this is a secret message number 1061,TJmV iS J NNCTW VEUBDBN PDPWNR 1061,vigenere,acjdvj,35,1.8421052631578947,19
this is a secret message number 1062,JXYIw YIq QIUSHUJ CUIIQWU DKCRUH 1062,caesar,16,37,1.85,20
this is a secret message number 1063,tsce hi ermsene 3i ase gub1ws tam0,rail_fence,4,34,1.8888888888888888,18
this is a secret message number 1064,tsce rhi ermsene 4i ase sgub16swwtsm0,rail_fence,4,37,1.9473684210526316,19
this is a secret message number 1065,tsce rhi ermsene i as gub16s tam0,rail_fence,4,33,1.9411764705882353,17
this is a secret message number 1066,sea6bhsmebscsu0irsm6tatgfieen1,columnar,kclgja,30,1.7647058823529411,17
this is a secret message number 1067,INJOf MQ P TAJVCD SFOZEO TVIIIP f067,vigenere,pgbwheyk,36,1.7142857142857142,21
this is a secret message number 1068,YMNX NX F XJHWJY RJXXdLJ SZRmGJW 1068,caesar,5,37,1.85,20
this is a secret message number 1069,ABQS X MU SERLLN MEHMHAM NJGIYZ d169,vigenere,huiaapu,36,1.6363636363636365,22
this is a secret message number 1070,RFGQ GQ Y QCAPRC KCQQYeEC LSKZP 1070,caesar,24,36,2.0,18
this is a secret message number 1071,tsce rhi ermsene 1i ase slgb17s rtam0,rail_fence,4,37,2.176470588235294,17
this is a secret message number 1072,ti sasce esju gr17hsi  ertmsaenme 02,rail_fence,2,36,2.0,18
this is a secret message number 1073,semgkb7tsrsrrhaseu1istam0iceee3,columnar,ijwbz,31,1.8235294117647058,17
this is a secret message number 1074,DRSC SC K COMBOD WOCKsQO XEWLOj 1074,caesar,10,36,1.8,20
this is a secret message number 1075,hvaesu1istamiceee5tsrsnnrsemgb7,columnar,xflym,31,1.8235294117647058,17
this is a secret message number 1076,smu6hraiytn7aemtesesee0irg1ssb,columnar,pixslemy,30,1.7647058823529411,17
this is a secret message number 1077,MABL BLvT LXVKXMF LLTZX GNFUXK 1077,caesar,19,35,1.9444444444444444,18
this is a secret message number 1078,OCDN DN V NZMZO HZNNbVBZ IPHWZM m078,caesar,21,36,2.0,18
this is a secret message number 1079,NVZR BV U JDGKHL dAVRWTJb LLFXU 1079,vigenere,uorzetds,36,1.5,24
this is a secret message number 1080,icsbeirhes0mamn0tseu8sraeste1,columnar,lgbqcxh,29,1.9333333333333333,15
this is a secret message number 1081,SGHRl HR Z RDBQDS LDRRZFD MTLvADQ 1081,caesar,25,38,2.0,19
this is a secret message number 1082,DRSC SC K CiOMBD kWOCCKQO XEWLOB 1082,caesar,10,37,1.85,20
this is a secret message number 1083,hscmuar3sseseb0tietsnne8iazregm1,columnar,qkxl,32,1.7777777777777777,18
this is a secret message number 1084,tsce rhi ermsee 4i ase sgub18s tma0,rail_fence,4,35,2.0588235294117645,17
this is a secret message number 1085,sseseb0ahscmaur5iarewgm1tietsne8,columnar,sfla,32,1.7777777777777777,18
this is a secret message number 1086,hsmerscsu0seabttageism8ieen1,columnar,kcpdog,28,1.75,16
this is a secret message number 1087,ti sasce sg ubr18hsi  ertmsienme0 7,rail_fence,2,35,1.9444444444444444,18
this is a secret message number 1088,MMCO VE M YXYIW YXXMWXA OGFGYN 1088,vigenere,tfuwrwdbm,35,2.0588235294117645,17
this is a secret message number 1089,a  1h  tmen 0isxseegur8sivrsame9 csb,rail_fence,5,36,1.8,20
this is a secret message number 1090,tvac s b1hsi  ertmsenme 00siseegur9,rail_fence,3,35,1.9444444444444444,18
this is a secret message number 1091,tKYZJ ZJ R VJTIVKl DVJJRXV ELDSVI 1091,caesar,17,38,2.0,19
this is a secret message number 1092,CNKBKB C YGLXGC ONYUJG ToWVHGA 1092,vigenere,jgc,35,1.5909090909090908,22
this is a secret message number 1093,VADJ HrW T JPBVGM DPRWCZZ YTQDXq 1093,vigenere,ctvrlze,37,1.5416666666666667,24
this is a secret message number 1094,WKLV fV D VHFUHW PvVVDJH QXPEHU 1049,caesar,3,36,1.8,20
this is a secret message number 1095,KFAp AJ S QWTPWK EVQKREWhoMDZWI 1095,vigenere,rys,36,1.5,24
this is a secret message number 1096,JQNA BQ Q XZMKCT VAJPTEE WZUYXPw 1096,vigenere,qjfixtya,37,1.608695652173913,23
this is a secret message number 1097,ti sasce egs dubr19hsi  ertmfaenme 07,rail_fence,2,37,1.85,20
this is a secret message number 1098,OWZU X LV JGDGvN BVUTPZY eCLOCTK 1098,vigenere,vprcbptu,37,1.5416666666666667,24
this is a secret message number 1099,ti sasce sg ubr19hsi  erdtmsaenmce 09,rail_fence,2,37,2.0555555555555554,18
this is a secret message number 1100,BPQAo QA I AaMKZMB UAMAIOM VCUJMZ 1100,caesar,8,38,2.111111111111111,18
this is a secret message number 1101,DPEO EO W OAYNA PIAOOWCA JQIXA N1101,caesar,22,36,2.25,16
this is a secret message number 1102,istxam1iceee2hasu1semgb0trssnr,columnar,trmsq,30,1.7647058823529411,17
this is a secret message number 1103,ti sasce esg qobr10hsi  ertmsaenme1 3,rail_fence,2,37,2.0555555555555554,18
this is a secret message number 1104,ti sasce egs ubr10hsi  ertmsaensmye 14,rail_fence,2,38,2.111111111111111,18
this is a secret message number 1105,FTUEUE iM EQODQFf YQEEMSQ ZGYNQD 1105,caesar,12,37,1.9473684210526316,19
this is a secret message number 1106,QYP HP Q QDZtDUQ BEIXED ZKJZDO 1106,vigenere,xmqxyz,35,1.8421052631578947,19
this is a secret message number 1107,ihg1iqtn0tesesee1aemssbhckrsmu7,columnar,dubhcvqt,31,1.7222222222222223,18
this is a secret message number 1108,AZOQ PK Y ZWIPUA SCIZSC UMSZUY 08,vigenere,hsgyq,33,2.0625,16
this is a secret message number 1109,PDOE EO W OAYNAP IAOwWCA JQIXAN 1109,caesar,22,36,2.0,18
this is a secret message number 1110,t ac s b1hsi  ertmsaenme g0siseegurg,rail_fence,3,36,2.25,16
this is a secret message number 1111,XJCH EI E gOHUND ODCXWWO PTWGAH 1111,vigenere,eczkfwqk,36,2.0,18
this is a secret message number 1112,tsce hi ermsene 2i ase sgub1j1stam1,rail_fence,4,35,2.0588235294117645,17
this is a secret message number 1113,sseseb1teitsne1hscmoaor3iaregm1,columnar,ouxf,31,2.066666666666667,15
this is a secret message number 1114,t ac s b1hsi  ertmsaenme 4isdseegbur1,rail_fence,3,37,2.176470588235294,17
this is a secret message number 1115,tsce prhi ermsene 5i ase sugb11as tam1,rail_fence,4,38,2.235294117647059,17
this is a secret message number 1116,MABL BL T LXVKXM FXLLTZm GNFUXK 11l,caesar,19,35,2.0588235294117645,17
this is a secret message number 1117,t gc s b1hsi  ertmsvkenme 17isseegur1,rail_fence,3,37,2.176470588235294,17
this is a secret message number 1118,QE FPFP X PBZOBQ JBPPXDB KRJYBO 1j118,caesar,23,37,2.176470588235294,17
this is a secret message number 1119,WEZY EO E PVIAAP QHPJGPA DYPYVX 1119,vigenere,dxrgjwwqe,36,2.0,18
this is a secret message number 1120,ta  1he tmen 1issegeur2siersame0csb,rail_fence,5,35,2.0588235294117645,17
this is a secret message number 1121,BDrI KJ I XUZTVAaIJIPCXL JZCYGI 1121,vigenere,iwfqxcrh,36,1.7142857142857142,21
this is a secret message number 1122,tsce rhi ermsnee2 i ase sgub12stam1,rail_fence,4,35,2.1875,16
this is a secret message number 1123,ta  h1  tmenp 1isseegur2sizrsame3 csb,rail_fence,5,37,1.9473684210526316,19
this is a secret message number 1124,FTUE UE M EQODQF YQEEMSQ ZGdYNQ 124,caesar,12,35,1.9444444444444444,18
this is a secret message number 1125, ac s b1hski  rtmsaenme 15isseegur2,rail_fence,3,35,1.9444444444444444,18
this is a secret message number 1126,HYEN CG W UYQIA OGSJOVIY EQtDYF m126,vigenere,orwvcu,36,1.565217391304348,23
this is a secret message number 1127,IVSJX V O JZRUTH DZHVyPO IJPQSB 1127,vigenere,pokrvpd,36,1.8,20
this is a secret message number 1128,iceee8haesu1semgxb2iistm1tsrsnr,columnar,ylrpb,31,1.8235294117647058,17
this is a secret message number 1129,NBCM CM U MYWLYN GYMMxUAY HOGeYL 1192,caesar,20,37,2.0555555555555554,18
this is a secret message number 1130,icsbegracn1ste1sraeseu3hesm0,columnar,vzauflk,28,1.75,16
this is a secret message number 1131,itnt3hcarsmu1aemesessbkirg1see1,columnar,qjuygmpt,31,1.9375,16
this is a secret message number 1132,SRQXd SA Z AJBBMY WMXKROJ XCRAZO 1132,vigenere,zkif,37,1.9473684210526316,19
this is a secret message number 1133,GEHU ZEN RGOIQI JDEURS TKTONVD 1133,vigenere,nxzcmrmp,35,1.8421052631578947,19
this is a secret message number 1134,PDEO EO W OAYNAP AIOOWCz JQIXAN 113g4,caesar,22,37,1.9473684210526316,19
this is a secret message number 1135,ti sasce esg ubr13si  retmsaenm e15,rail_fence,2,35,2.1875,16
this is a secret message number 1136,tsrwsnrsemg3bsitam1haesu1iceee6,columnar,ntroy,31,1.8235294117647058,17
this is a secret message number 1137,EkNXm PK D DJHCLL PPDXFL NXXMJW 1137,vigenere,llfflhsad,36,1.894736842105263,19
this is a secret message number 1138,tscerhi ermkene 8i ase sgub13s atm1,rail_fence,4,35,1.9444444444444444,18
this is a secret message number 1139,AOPZ P H ZLJYLA TLtZZHNL UBTILYs 1139,caesar,7,37,1.9473684210526316,19
this is a secret message number 1140,t acvh b1hsi  ertmsaenme 10isseegcur4,rail_fence,3,37,2.0555555555555554,18
this is a secret message number 1141,irsm4hen1tatgescsu1seapb1hsmer,columnar,mwlqiu,30,1.875,16
this is a secret message number 1142,ta  1h  tmen 1isseegur4tdierame2 csb,rail_fence,5,36,2.0,18
this is a secret message number 1143,BURvC SM I BOFBY KZNCVKAV ADWEtOL 1143,vigenere,injkdkur,38,1.52,25
this is a secret message number 1144,AKDN VX I VZXRMY ULVNVBR QCEZM 1144,vigenere,hdvvvnfdi,35,1.75,20
this is a secret message number 1145,MUAV BF DhLRUUJM EHXNYH GHEEJK 11u45,vigenere,tnsdf,36,1.565217391304348,23
this is a secret message number 1146,scs1ieen1tatgeirsm4eseab6hsmmr,columnar,ktjbnp,30,2.0,15
this is a secret message number 1147,KYZJ ZJ  JVTIK DVJJRXV ELDcVI 1147,caesar,17,34,2.0,17
this is a secret message number 1148,ta  1h  tmen 1isseegur4sioersame8ccwb,rail_fence,5,37,1.9473684210526316,19
this is a secret message number 1149,ILL AP P VXZJBS BHLPSDD XFYWO 1149,vigenere,ppdtxsxz,34,1.7,20
this is a secret message number 1150,ta  1  tmen 1isseegur5sierasme0 csb,rail_fence,5,35,2.1875,16
this is a secret message number 1151,lste1ehsm1icsbamn1ieghtseu5srae,columnar,sbevhag,31,1.9375,16
this is a secret message number 1152,WKLV LV DV HFUHW xHVVJH QXPEHU 1152,caesar,3,35,1.9444444444444444,18
this is a secret message number 1153,ta  1h  tmen 1isseegurs5iersame3 sb,rail_fence,5,35,2.1875,16
this is a secret message number 1154,ti sasec esg mbr15fsi  ertmsaenme 14,rail_fence,2,36,2.25,16
this is a secret message number 1155,SRST DD Z CIFMPY WOTYVRJXENHZC y1155,vigenere,zkkbgvlf,36,1.565217391304348,23
this is a secret message number 1156,teseitn5rg1hcardsee1smu6ssbem,columnar,gnmrjsxu,29,1.7058823529411764,17
this is a secret message number 1157,tsce hri ermsene 7im se sgub15s tam1,rail_fence,4,36,2.1176470588235294,17
this is a secret message number 1158,iueen1tatgehsmetiirsm5seab8scsu1,columnar,dgazwx,32,2.0,16
this is a secret message number 1159,BPQA Q AI AMKiMB UMAAIOM VCUJMZ 115b9,caesar,8,37,1.9473684210526316,19
this is a secret message number 1160,WKLV LVD  VHFUHW PHVVDHJ QXPEHgU 1160,caesar,3,37,2.0555555555555554,18
this is a secret message number 1161,hacrsu1irg1itn6aemseed1ssbtese,columnar,xaesgdru,30,1.875,16
this is a secret message number 1162,AOPZ PZ H ZLJYoA TLZZHNL UuTILY 11t2,caesar,7,36,2.0,18
this is a secret message number 1163,t ac s b1his  ertmsaenmeu13isseegr6,rail_fence,3,35,2.0588235294117645,17
this is a secret message number 1164,UFHA GR B RMDPDB KDATYFM LUTCCQz164,vigenere,byzi,35,1.6666666666666667,21
this is a secret message number 1165,AKLY V H VKJUHZy PHYZDJK QXSIHU 1y165,vigenere,hddg,37,1.85,20
this is a secret message number 1166,isotam1tsrsnrilee6semgb6haesu1,columnar,krenl,30,1.875,16
this is a secret message number 1167,sseseb1ttetsne6hscmuar7iarwegm1,columnar,klqg,31,1.8235294117647058,17
this is a secret message number 1168,tsce h iermsaene 8i ase sgub16s tam1,rail_fence,4,36,2.1176470588235294,17
this is a secret message number 1169,KYZJ ZJ R JVTIVK DVJJRXV EtLDSmVIl 1169,caesar,17,39,1.95,20
this is a secret message number 1170,PESH PD XpHOJCAQ BOZWDDaO XBXXBB 1170,vigenere,wxkpkhl,37,1.85,20
this is a secret message number 1171,ESTD TD L DPNCPt XDPDLRP YFXMPC 11i71,caesar,11,37,2.0555555555555554,18
this is a secret message number 1172,hsmrigeen1irsm7scsu1seab2tateg,columnar,zagvpx,30,1.875,16
this is a secret message number 1173,stei1csbsraehsm3tseu7amn1iezr,columnar,trmnwcv,29,1.8125,16
this is a secret message number 1174,rUV FVF N FRPERG ZRFFNRT AHZORE 1174,caesar,13,36,2.0,18
this is a secret message number 1175,nsce rhi ermsene 5i vse sghub17s tam1,rail_fence,4,37,2.0555555555555554,18
this is a secret message number 1176,itn7irg1aemssbsee1hxcartessemu6,columnar,sqcobvgk,31,1.8235294117647058,17
this is a secret message number 1177,hscmarz7tetsne7iaregm1sseseb1,columnar,edfm,29,1.9333333333333333,15
this is a secret message number 1178,tatgeirsm7iee1scsu1sweab8hser,columnar,lyrunx,29,1.8125,16
this is a secret message number 1179,ESTD TD L DcPNPE XPDDLxP YFXMPC 1179,caesar,11,36,2.0,18
this is a secret message number 1180,tMAX HR J AJUWImS ENOAFYJh MTEKAZ 1180,vigenere,ifsfezzsjw,38,1.52,25
this is a secret message number 1181,NBCM CM U MYWLYN GYMMUAj HOGVYL i11,caesar,20,35,2.0588235294117645,17
this is a secret message number 1182,itsagm1tsrsrnhaesu1iceee2semgb8,columnar,fgduj,31,1.9375,16
this is a secret message number 1183,ta l 1h  tmen 1isseegur8siersame3 csb,rail_fence,5,37,2.0555555555555554,18
this is a secret message number 1184,WiJSA V A VqMZDG JEKVCQM ACJBWU 1184,vigenere,dckiznixas,36,1.7142857142857142,21
this is a secret message number 1185,tietsen8hscmaru5sseseb1iaergm1,columnar,bltq,30,1.875,16
this is a secret message number 1186,scemgb8istam1iclee6trssnrhaesu1,columnar,uxphq,31,1.8235294117647058,17
this is a secret message number 1187,WKLV LVD VHFUHW PHVDJH QXPEHU 1q187,caesar,3,35,1.9444444444444444,18
this is a secret message number 1188,RDFM UO O OBWXQP ACOPUMQ EIKXBL g1g1w8,vigenere,ywxugmwro,38,1.7272727272727273,22
this is a secret message number 1189,NlBCM CM U MYWLYN GMMUAt HOGVYL 1189,caesar,20,36,1.894736842105263,19
this is a secret message number 1190,itnirg1ssbaemsmu0tevshcarsee1,columnar,rvcyagfd,29,1.8125,16
this is a secret message number 1191,PVIS ET A OFPRGP ZEOUBT EJVZBGN 1191,vigenere,wbnac,36,1.894736842105263,19
this is a secret message number 1192,PDEO EO W OYANAP IAOOWqAmJQIXAN 1192,caesar,22,36,2.0,18
this is a secret message number 1193,tesesmu3igtn9ssbsee1hcairrg1aem,columnar,alskgevh,31,1.9375,16
this is a secret message number 1194,f ac s b1hsi  etrmsaenme 14isseegur,rail_fence,3,35,2.0588235294117645,17
this is a secret message number 1195,t ao as b1hsi  ertmsaenme 15isseegur9,rail_fence,3,37,2.176470588235294,17
this is a secret message number 1196,OCDN DN V NZXZO HZNVNBZ IPHWZM 196,caesar,21,34,2.0,17
this is a secret message number 1197,tseu9iegrhesqm7ste1sraeamn1icsub,columnar,aowrdps,32,1.8823529411764706,17
this is a secret message number 1198,YMNX NX F XJHWJi yJXXFLJ SZRGJW 11e98,caesar,5,37,1.85,20
this is a secret message number 1199,CQRB RB J BNLApNC VNBBJPN WDVK N1199,caesar,9,36,2.1176470588235294,17
this is a secret message number 1200,tsce rhi ermsene 0ise sgub10s tazm2,rail_fence,4,35,1.9444444444444444,18
this is a secret message number 1201,IWXH XoP  HTRGTI BTHHPVT CJBQG 1201,caesar,15,35,1.9444444444444444,18
this is a secret message number 1202,RWQA AQ K AYUPHD UYKQDQzqM HMKEOZ 1202,vigenere,dkiiusy,38,1.9,20
this is a secret message number 1203,see2ssbri1itn0teseaemsmu3hacr,columnar,iofchnkd,29,1.8125,16
this is a secret message number 1204,t wac s b1hsi  ertmsaenme 4isseygur0,rail_fence,3,36,1.894736842105263,19
this is a secret message number 1205,sesseb2aregm1hscmaurt5ietsne0,columnar,xwld,29,1.7058823529411764,17
this is a secret message number 1206,tietsne0gsseseb2iaregmhscmaurm,columnar,crqk,30,2.0,15
this is a secret message number 1207,KCFF HLB JZyZENS SFCJVDR MNSCOI 1207,vigenere,rvxnjztgbk,36,1.565217391304348,23
this is a secret message number 1208,JWIU DI A WGSEV HUHSCKZ CUOFZ 1208,vigenere,qpacev,34,1.619047619047619,21
this is a secret message number 1209,tsue0hesm9icsbiegrvmn2te1srae,columnar,efhsipo,29,1.6111111111111112,18
this is a secret message number 1210,tpeu1hesm0icsbsraeamn2st1iegr,columnar,cmnotsp,29,1.7058823529411764,17
this is a secret message number 1211,LZJH A TS TTUJFI EFHKSHT FVBTWSf 1211,vigenere,ssbp,37,1.9473684210526316,19
